#,Name,Formula,Include,Mass(Da),Found At Mass (Da),Control Found At Mass (Da),Width (Da),Adduct,Expected RT (min),RT Width (min),Found At RT (min),Library Score,Library Hit,Formula Finder Result,Intensity,Control Intensity,Known Concentration,Calculated Concentration,Area,Control Area,Isotope,Threshold (cps),Threshold (ratio of control),Formula Finder Score,Int Std,Combined Score,Mass Error Score,RT Score,Isotope Score,Non-Targeted Peak,S:N,Fragment Mass (Da),Comments,Extraction Mass (Da),Error (ppm),Control Error (ppm),Error (mDa),Control Error (mDa),RT Delta (min),Control RT Delta (min),RT % Error,Control RT % Error
1,HMDB0014602,C21H26O3,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
2,HMDB0014856,C20H32N5O8P,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
3,HMDB0015636,C15H17NO2,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
4,HMDB0014490,C19H27N5O4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
5,HMDB0014581,C5H4N4O,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
6,HMDB0015633,C17H27N3O4S,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
7,HMDB0014434,C17H21NO,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
8,HMDB0014327,C10H12ClNO2,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
9,HMDB0015465,C19H20ClNO4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
10,HMDB0015583,C22H18N2,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
11,HMDB0014334,C19H25BN4O4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
12,HMDB0014699,C27H29N5O6S,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
13,HMDB0015511,C14H10BrN3O,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
14,HMDB0015353,C25H34O6,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
15,HMDB0015024,C17H20N2O5S,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
16,HMDB0015328,C9H15NO3S,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
17,HMDB0014455,C14H11ClN2O4S,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
18,HMDB0014410,C13H17NO,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
19,HMDB0015393,C27H37N3O7S,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
20,HMDB0015384,C22H26ClN7O2S,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
21,HMDB0015547,C21H15N3O4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
22,HMDB0015102,C19H19ClN2,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
23,HMDB0015110,C24H40N8O4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
24,HMDB0015315,C22H24ClN5O2,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
25,HMDB0014619,C18H19NOS,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
26,HMDB0014522,C21H28O2,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
27,HMDB0015108,C24H21F2NO3,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
28,HMDB0014570,C14H19N5O4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
29,HMDB0015158,C18H19Cl2NO4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
30,HMDB0015405,C17H21NO4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
31,HMDB0014951,C22H28N2O,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
32,HMDB0014342,C13H12F2N6O,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
33,HMDB0015231,C4H4FN3O,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
34,HMDB0015589,C26H26F2N2,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
35,HMDB0014729,C24H30F2O6,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
36,HMDB0014469,C22H29FO4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
37,HMDB0014615,C17H18F3NO,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
38,HMDB0014850,C15H13FO2,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
39,HMDB0000121,C19H19N7O6,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
40,HMDB0005015,C9H17NO2,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
41,HMDB0015200,C21H27N5O4S,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
42,HMDB0015308,C26H27NO9,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
43,HMDB0014862,C14H16N4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
44,HMDB0014946,C16H16ClN3O3S,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
45,HMDB0015449,C19H26I3N3O9,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
46,HMDB0014415,C19H21N3O5,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
47,HMDB0015298,C35H38Cl2N8O4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
48,HMDB0012242,C26H28Cl2N4O4,TRUE,,0,,0.01,H,0,1,0,-1,,,0,,,,0,,0,100,5,-1,FALSE,-1,-1,-1,-1,FALSE,,,,,0,,0,,0,,0,
