Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0015656+H	12.12584376	N/A	N/A
HMDB0015646+Na	17.65139993	17.92204859	17.8908607
HMDB0015646+NH4	8.115393719	N/A	N/A
HMDB0015636+NH4	7.946546303	N/A	N/A
HMDB0015636+H	6.952949501	N/A	N/A
HMDB0015633+K	19.89277726	19.87822	19.86893658
HMDB0015596+K	5.34751623	5.621423021	5.21333588
HMDB0015596+H	6.60192205	N/A	N/A
HMDB0015589+Na	16.50995825	16.52453834	16.49836731
HMDB0015589+NH4	18.26769114	18.31155266	18.30674847
HMDB0015557+Na	13.71857396	13.73050414	13.71708903
HMDB0015557+H	15.76964735	15.77968281	15.76516623
HMDB0015547+NH4	7.796291626	N/A	N/A
HMDB0015396+Na	10.66988909	10.67134736	10.6919178
HMDB0015396+NH4	12.49479312	12.21947309	12.2145373
HMDB0015396+K	18.53831569	18.31775258	N/A
HMDB0015393+Na	8.016796596	8.028297432	8.048408237
HMDB0015390+Na	21.23437856	N/A	N/A
HMDB0015390+H	17.48645448	17.42089762	16.96980162
HMDB0015353+NH4	7.492253983	7.131550323	7.141168186
HMDB0015353+K	13.30128492	N/A	13.19012349
HMDB0015315+Na	9.720008097	9.912257962	9.948254416
HMDB0015231+NH4	14.16422579	14.33017624	13.71738029
HMDB0015231+K	11.50042949	11.50882398	11.51639017
HMDB0015200+NH4	15.99060508	16.00219661	15.98258063
HMDB0015192+NH4	1.333055362	N/A	N/A
HMDB0015192+K	11.49869412	11.50739941	11.50499917
HMDB0015110+NH4	17.42188147	17.58294591	17.55273972
HMDB0015094+Na	15.36751733	15.13433284	15.10763981
HMDB0015088+H	8.07348117	N/A	N/A
HMDB0015047+Na	16.89640376	16.58687474	17.19333112
HMDB0015024+K	6.705685107	N/A	N/A
HMDB0015024+H	6.703020063	6.811996146	7.1866803
HMDB0015000+Na	7.745747166	7.74204654	7.753046662
HMDB0015000+NH4	20.05386433	N/A	N/A
HMDB0015000+K	20.05309768	N/A	N/A
HMDB0014998+NH4	13.0719726	13.08236198	13.07348243
HMDB0014998+K	13.07171074	13.08238759	13.07254444
HMDB0014958+Na	8.535008022	N/A	N/A
HMDB0014958+NH4	8.216313672	7.966169628	7.975802619
HMDB0014958+H	8.131178057	N/A	N/A
HMDB0014951+Na	6.869779996	6.849257348	6.858753592
HMDB0014949+K	1.824644946	1.717994744	N/A
HMDB0014862+Na	8.985910228	N/A	N/A
HMDB0014862+K	6.069471889	6.022748927	6.010958702
HMDB0014862+H	13.8573809	N/A	N/A
HMDB0014850+NH4	18.11368589	18.35010157	N/A
HMDB0014850+H	7.453357031	N/A	N/A
HMDB0014830+Na	11.35858985	N/A	N/A
HMDB0014830+K	18.83597041	18.82469437	18.8248345
HMDB0014792+Na	20.38125979	20.78583455	N/A
HMDB0014792+NH4	13.82920337	13.71019604	N/A
HMDB0014792+K	20.33734499	20.33746597	20.33470445
HMDB0014758+NH4	9.12010425	9.132141735	9.148726468
HMDB0014758+K	9.12562339	N/A	N/A
HMDB0014758+H	16.54474108	16.53636931	16.51582199
HMDB0014729+Na	11.57111184	11.56018247	12.0096478
HMDB0014729+H	7.44580401	7.444319432	7.456578257
HMDB0014699+NH4	8.018044528	8.029130755	8.041061895
HMDB0014615+NH4	6.688265252	6.828756801	6.837079724
HMDB0014581+H	1.816824132	N/A	N/A
HMDB0014570+NH4	18.34111112	18.34425709	18.33112155
HMDB0014535+NH4	22.43047154	22.44513634	22.4485872
HMDB0014522+Na	10.72673198	N/A	N/A
HMDB0014522+NH4	9.5828113	N/A	N/A
HMDB0014522+H	20.17650864	20.16902795	20.16512671
HMDB0014494+Na	7.917738121	7.795015113	7.803776734
HMDB0014494+NH4	15.0689959	15.08808096	15.07146709
HMDB0014494+H	7.79906823	7.797145682	7.798546654
HMDB0014490+NH4	1.496585873	N/A	N/A
HMDB0014469+H	18.25214971	18.25827549	18.24945353
HMDB0014445+K	1.439983287	N/A	N/A
HMDB0014445+H	8.110418921	7.71092495	7.701052714
HMDB0014434+NH4	9.119517662	N/A	N/A
HMDB0014434+H	6.072477189	6.033694995	5.989368076
HMDB0014420+Na	13.30243429	N/A	N/A
HMDB0014420+NH4	19.69206904	N/A	N/A
HMDB0014410+NH4	9.94497872	N/A	10.21963892
HMDB0014389+Na	1.265496888	N/A	N/A
HMDB0014389+H	1.275106423	N/A	N/A
HMDB0014375+Na	5.806942073	N/A	N/A
HMDB0014375+K	5.16169158	N/A	5.325803397
HMDB0014375+H	1.446234679	1.426060003	N/A
HMDB0014354+Na	15.42021827	15.10979865	15.08674671
HMDB0014342+K	15.48176449	15.51260242	15.49460628
HMDB0014323+NH4	21.37478118	21.42406723	21.75300856
HMDB0014323+K	8.310750982	N/A	N/A
HMDB0005015+NH4	1.246922414	N/A	1.546844954
HMDB0005015+K	8.424096229	8.430397379	8.443430482
HMDB0005015+H	8.421391282	8.433709939	8.446106399
HMDB0005007+Na	21.91288394	21.61894174	21.61907876
HMDB0001488+Na	1.092570527	1.512784198	N/A
HMDB0001488+NH4	1.445664655	N/A	N/A
HMDB0001488+H	1.811380771	N/A	1.375200567
HMDB0001406+K	1.092212341	N/A	0.800120762
HMDB0001406+H	2.76428952	N/A	N/A
HMDB0000929+NH4	8.878669176	8.855931625	8.868057049
HMDB0000929+K	6.176125208	6.212816421	6.196819789
