Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0015656+H	3948.725716	N/A	N/A
HMDB0015646+Na	793.9658872	149.5998082	114.9138188
HMDB0015646+NH4	1989.23537	N/A	N/A
HMDB0015636+NH4	872.9294566	N/A	N/A
HMDB0015636+H	511.1268152	N/A	N/A
HMDB0015633+K	1693.098057	101.9793109	46.55707669
HMDB0015596+K	1912.400413	49.33880447	30.5324753
HMDB0015596+H	357.306648	N/A	N/A
HMDB0015589+Na	7417.224236	6629.129426	5232.299369
HMDB0015589+NH4	5684.406347	2218.590287	1808.271759
HMDB0015557+Na	64964.84845	61011.46483	52921.74663
HMDB0015557+H	73154.48292	57652.39998	60009.23946
HMDB0015547+NH4	1723.30479	N/A	N/A
HMDB0015396+Na	3073.019168	161.0804279	159.1990374
HMDB0015396+NH4	2520.471435	459.2446162	372.4343475
HMDB0015396+K	1416.36667	83.74774765	N/A
HMDB0015393+Na	4506.888696	157.4910433	133.136523
HMDB0015390+Na	475.5882285	N/A	N/A
HMDB0015390+H	1067.77583	87.45423117	37.31133938
HMDB0015353+NH4	10863.85403	1603.40019	1337.882581
HMDB0015353+K	10286.324	N/A	156.0061565
HMDB0015315+Na	851.8173006	29.1612564	30.25095004
HMDB0015231+NH4	3517.743227	62.40678364	81.04150946
HMDB0015231+K	58041.30217	47541.82427	52397.85731
HMDB0015200+NH4	2677.092347	2069.049849	2131.102547
HMDB0015192+NH4	1561.443692	N/A	N/A
HMDB0015192+K	8413.15697	9484.794202	8859.493088
HMDB0015110+NH4	482966.1196	378.7700674	425.772364
HMDB0015094+Na	27702.97219	28561.19043	31702.21603
HMDB0015088+H	1580.475719	N/A	N/A
HMDB0015047+Na	279.2151529	58.55337345	70.10294835
HMDB0015024+K	1277.19329	N/A	N/A
HMDB0015024+H	11084.89985	109.0018198	79.5802613
HMDB0015000+Na	90958.38584	9949.330401	9781.515905
HMDB0015000+NH4	23775.51144	N/A	N/A
HMDB0015000+K	31636.77144	N/A	N/A
HMDB0014998+NH4	14112.49651	18611.25726	13801.36701
HMDB0014998+K	42061.38456	60597.28129	44346.97826
HMDB0014958+Na	951.2879379	N/A	N/A
HMDB0014958+NH4	964.3730938	250.3251986	183.2367583
HMDB0014958+H	4977.687324	N/A	N/A
HMDB0014951+Na	51521.14186	3320.420629	3323.123355
HMDB0014949+K	239.5348481	23.07789281	N/A
HMDB0014862+Na	2852.426354	N/A	N/A
HMDB0014862+K	6267.92118	1081.517393	1506.184703
HMDB0014862+H	1959.716228	N/A	N/A
HMDB0014850+NH4	10615.66906	81.49987009	N/A
HMDB0014850+H	3203.700022	N/A	N/A
HMDB0014830+Na	3011.459246	N/A	N/A
HMDB0014830+K	8365.88361	6921.472691	6706.075993
HMDB0014792+Na	3190.518423	62.34767335	N/A
HMDB0014792+NH4	3946.607659	210.5408054	N/A
HMDB0014792+K	3080.998463	5052.265285	1652.074483
HMDB0014758+NH4	2427.193627	151.6514549	178.7818326
HMDB0014758+K	2027.548511	N/A	N/A
HMDB0014758+H	2151.715174	1761.798631	1228.396699
HMDB0014729+Na	2280.061961	177.3462162	196.96475
HMDB0014729+H	287730.0667	95370.03685	97153.24124
HMDB0014699+NH4	17688.38651	820.6252701	804.5753919
HMDB0014615+NH4	447.4308929	187.129433	172.5909339
HMDB0014581+H	3572.154869	N/A	N/A
HMDB0014570+NH4	15693.47239	6710.120971	7032.455066
HMDB0014535+NH4	1490.00014	315.5536553	645.7954324
HMDB0014522+Na	5109.896364	N/A	N/A
HMDB0014522+NH4	1691.258617	N/A	N/A
HMDB0014522+H	12726.15809	8010.503106	9017.949201
HMDB0014494+Na	99.52768973	96.92354201	66.44797928
HMDB0014494+NH4	180338.3038	256210.0292	288434.7617
HMDB0014494+H	28867.18711	28113.24216	26102.2053
HMDB0014490+NH4	979.4550437	N/A	N/A
HMDB0014469+H	7899.356248	1215.880087	975.2273555
HMDB0014445+K	549.9053483	N/A	N/A
HMDB0014445+H	360.3329199	37.6218047	32.79737562
HMDB0014434+NH4	12527.14585	N/A	N/A
HMDB0014434+H	7972.036544	1647.032436	705.0634597
HMDB0014420+Na	8518.03112	N/A	N/A
HMDB0014420+NH4	1373.379132	N/A	N/A
HMDB0014410+NH4	8248.287121	N/A	35.39589531
HMDB0014389+Na	744.5421777	N/A	N/A
HMDB0014389+H	3086.800404	N/A	N/A
HMDB0014375+Na	2365.564028	N/A	N/A
HMDB0014375+K	36538.01685	N/A	79.83843313
HMDB0014375+H	4761.525508	29.61946651	N/A
HMDB0014354+Na	436027.6467	27896.6408	28304.92988
HMDB0014342+K	8999.942222	7770.282813	7973.791078
HMDB0014323+NH4	5489.802733	99.9781282	147.8737912
HMDB0014323+K	752.94229	N/A	N/A
HMDB0005015+NH4	6796.051615	N/A	21.90254513
HMDB0005015+K	2875.690037	2592.750486	2609.57026
HMDB0005015+H	5030.347498	3552.222857	3512.772077
HMDB0005007+Na	6828.691288	904.6894571	1084.640042
HMDB0001488+Na	406.5128034	14.57201022	N/A
HMDB0001488+NH4	2682.976454	N/A	N/A
HMDB0001488+H	5915.985093	N/A	29.17259445
HMDB0001406+K	436.5999994	N/A	18.28272979
HMDB0001406+H	30207.28765	N/A	N/A
HMDB0000929+NH4	604.2457153	456.8308099	382.4839805
HMDB0000929+K	3811.316874	42.76465852	34.83490956
