Sample Name	190313-POS-SWATH-HL60-HEK_ValiMix	Blank	Blank
Sample ID			
Sample Type	Unknown	Unknown	Unknown
HMDB0015656+H	0.097333235	N/A	N/A
HMDB0015646+Na	0.093853454	0.087720217	0.102649709
HMDB0015646+NH4	0.082302636	N/A	N/A
HMDB0015636+NH4	0.090937623	N/A	N/A
HMDB0015636+H	0.095977994	N/A	N/A
HMDB0015633+K	0.093666206	0.089375037	0.119658677
HMDB0015596+K	0.116074111	0.115679685	0.088593303
HMDB0015596+H	0.080926096	N/A	N/A
HMDB0015589+Na	0.093663164	0.107375534	0.096063172
HMDB0015589+NH4	0.122718554	0.128399579	0.121704886
HMDB0015557+Na	0.108251304	0.11067596	0.110920716
HMDB0015557+H	0.101367429	0.106664656	0.105399452
HMDB0015547+NH4	0.093150677	N/A	N/A
HMDB0015396+Na	0.096180916	0.094547314	0.102401059
HMDB0015396+NH4	0.08530461	0.087734554	0.090316476
HMDB0015396+K	0.096292771	0.116077728	N/A
HMDB0015393+Na	0.11616555	0.098902077	0.126488612
HMDB0015390+Na	0.097579239	N/A	N/A
HMDB0015390+H	0.114737709	0.076117107	0.090946638
HMDB0015353+NH4	0.117593314	0.147814896	0.157038645
HMDB0015353+K	0.097994193	N/A	0.092042203
HMDB0015315+Na	0.092243147	0.095652561	0.102481036
HMDB0015231+NH4	0.096967844	0.082196014	0.084206645
HMDB0015231+K	0.109951558	0.10988551	0.115039251
HMDB0015200+NH4	0.100249638	0.097565084	0.09746639
HMDB0015192+NH4	0.096675434	N/A	N/A
HMDB0015192+K	0.100031884	0.099438085	0.100025876
HMDB0015110+NH4	0.121548305	0.112702633	0.160941914
HMDB0015094+Na	0.1311913	0.176044805	0.157702433
HMDB0015088+H	0.083898307	N/A	N/A
HMDB0015047+Na	0.130008517	0.078556062	0.176019682
HMDB0015024+K	0.110532324	N/A	N/A
HMDB0015024+H	0.123268743	0.086004912	0.091308563
HMDB0015000+Na	0.101311405	0.106969476	0.10431748
HMDB0015000+NH4	0.093392342	N/A	N/A
HMDB0015000+K	0.093287149	N/A	N/A
HMDB0014998+NH4	0.098484085	0.099711053	0.098850364
HMDB0014998+K	0.098506012	0.099633993	0.097746314
HMDB0014958+Na	0.15518962	N/A	N/A
HMDB0014958+NH4	0.108243811	0.11134245	0.126365067
HMDB0014958+H	0.090497665	N/A	N/A
HMDB0014951+Na	0.096378112	0.114626409	0.112823951
HMDB0014949+K	0.088742162	0.114596061	N/A
HMDB0014862+Na	0.112900376	N/A	N/A
HMDB0014862+K	0.104747674	0.171104205	0.154674557
HMDB0014862+H	0.096573927	N/A	N/A
HMDB0014850+NH4	0.096741282	0.131166655	N/A
HMDB0014850+H	0.093032932	N/A	N/A
HMDB0014830+Na	0.105028021	N/A	N/A
HMDB0014830+K	0.128706988	0.125342187	0.135061154
HMDB0014792+Na	0.092548834	0.102095997	N/A
HMDB0014792+NH4	0.099015676	0.094885158	N/A
HMDB0014792+K	0.099851314	0.108125309	0.10088849
HMDB0014758+NH4	0.108595172	0.102667901	0.097479624
HMDB0014758+K	0.119438406	N/A	N/A
HMDB0014758+H	0.149385585	0.156045904	0.174722014
HMDB0014729+Na	0.108205374	0.106119093	0.112996129
HMDB0014729+H	0.096990795	0.100341815	0.100229979
HMDB0014699+NH4	0.117066881	0.109867636	0.108303425
HMDB0014615+NH4	0.092405159	0.101675044	0.116601406
HMDB0014581+H	0.086271884	N/A	N/A
HMDB0014570+NH4	0.098873254	0.101741488	0.101341262
HMDB0014535+NH4	0.118937237	0.170546815	0.137408322
HMDB0014522+Na	0.098642451	N/A	N/A
HMDB0014522+NH4	0.091765306	N/A	N/A
HMDB0014522+H	0.101608163	0.099583701	0.102761641
HMDB0014494+Na	0.077220949	0.112323301	0.145185862
HMDB0014494+NH4	0.11438863	0.109373785	0.112057242
HMDB0014494+H	0.102977567	0.115321618	0.116657097
HMDB0014490+NH4	0.087960098	N/A	N/A
HMDB0014469+H	0.099318777	0.105438387	0.111220187
HMDB0014445+K	0.094692036	N/A	N/A
HMDB0014445+H	0.092431513	0.133924689	0.07957888
HMDB0014434+NH4	0.095508289	N/A	N/A
HMDB0014434+H	0.101097608	0.169738234	0.081471985
HMDB0014420+Na	0.098112157	N/A	N/A
HMDB0014420+NH4	0.106394468	N/A	N/A
HMDB0014410+NH4	0.102704132	N/A	0.093991489
HMDB0014389+Na	0.088307169	N/A	N/A
HMDB0014389+H	0.090033488	N/A	N/A
HMDB0014375+Na	0.13246877	N/A	N/A
HMDB0014375+K	0.090633046	N/A	0.091011303
HMDB0014375+H	0.093673687	0.116071124	N/A
HMDB0014354+Na	0.095058852	0.110282766	0.113698033
HMDB0014342+K	0.160373818	0.155069171	0.168626332
HMDB0014323+NH4	0.095657016	0.142329122	0.243035859
HMDB0014323+K	0.10639458	N/A	N/A
HMDB0005015+NH4	0.096627455	N/A	0.089265862
HMDB0005015+K	0.220547346	0.247015893	0.247629737
HMDB0005015+H	0.19902542	0.237088085	0.2559587
HMDB0005007+Na	0.091300275	0.113436982	0.100571986
HMDB0001488+Na	0.099892361	0.139359128	N/A
HMDB0001488+NH4	0.094340966	N/A	N/A
HMDB0001488+H	0.089425384	N/A	0.093957288
HMDB0001406+K	0.104229845	N/A	0.079000603
HMDB0001406+H	0.201345467	N/A	N/A
HMDB0000929+NH4	0.113954285	0.143171393	0.153364898
HMDB0000929+K	0.097546187	0.093224237	0.178069663
