Accuracy For QCs Used	Accuracy For Stds Used	Baseline Sub. Window	Calc Conc Used	Comment	End Mass	Expected RT	Experiment	Extraction Type	GroupName	Ion Ratio Tolerance	Ion Ratio Used	IS	Lower Lim Calc Conc	Max Tolerance LLOQ	Max Tolerance QC	Max Tolerance Stds	Min Peak Height	Min Peak Width	Name	Noise Percentage	Peak Splitting Factor	Period	Regression Type	Report Largest Peak	Smoothing Width	Start Mass	Units	Update RT	Upper Lim Calc Conc	Use Area
TRUE	TRUE	0.1	TRUE		211.1277461	12.12691282	1	Scan	HMDB0015656+H_A	20	TRUE	FALSE		20	15	15	0	4	HMDB0015656+H	100	1	1	Linear	TRUE	3	211.1193011		0		TRUE
TRUE	TRUE	0.1	TRUE		211.1289475	12.12691282	5	Scan	HMDB0015656+H	20	TRUE	FALSE		20	15	15	0	4	HMDB0015656+H211.124725	100	1	1	Linear	TRUE	3	211.1205025		0		TRUE
TRUE	TRUE	0.1	TRUE		212.1304475	12.12691282	5	Scan	HMDB0015656+H	20	TRUE	FALSE		20	15	15	0	4	HMDB0015656+H212.126205	100	1	1	Linear	TRUE	3	212.1219625		0		TRUE
TRUE	TRUE	0.1	TRUE		141.0730574	12.12691282	5	Scan	HMDB0015656+H	20	TRUE	FALSE		20	15	15	0	4	HMDB0015656+H141.070236	100	1	1	Linear	TRUE	3	141.0674146		0		TRUE
TRUE	TRUE	0.1	TRUE		211.1277461	12.12691282	5	Scan	HMDB0015656+H	20	TRUE	FALSE		20	15	15	0	4	HMDB0015656+H_B	100	1	1	Linear	TRUE	3	211.1193011		0		TRUE
TRUE	TRUE	0.1	TRUE		286.1840226	17.6524233	1	Scan	HMDB0015646+Na_A	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na	100	1	1	Linear	TRUE	3	286.1725754		0		TRUE
TRUE	TRUE	0.1	TRUE		186.1085221	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na186.1048	100	1	1	Linear	TRUE	3	186.1010779		0		TRUE
TRUE	TRUE	0.1	TRUE		133.0664613	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na133.0638	100	1	1	Linear	TRUE	3	133.0611387		0		TRUE
TRUE	TRUE	0.1	TRUE		265.204504	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na265.1992	100	1	1	Linear	TRUE	3	265.193896		0		TRUE
TRUE	TRUE	0.1	TRUE		201.1313225	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na201.1273	100	1	1	Linear	TRUE	3	201.1232775		0		TRUE
TRUE	TRUE	0.1	TRUE		264.2009839	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na264.1957	100	1	1	Linear	TRUE	3	264.1904161		0		TRUE
TRUE	TRUE	0.1	TRUE		133.0674613	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na133.0648	100	1	1	Linear	TRUE	3	133.0621387		0		TRUE
TRUE	TRUE	0.1	TRUE		201.1314225	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na201.1274	100	1	1	Linear	TRUE	3	201.1233775		0		TRUE
TRUE	TRUE	0.1	TRUE		246.1904237	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na246.1855	100	1	1	Linear	TRUE	3	246.1805763		0		TRUE
TRUE	TRUE	0.1	TRUE		286.1840226	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na_B	100	1	1	Linear	TRUE	3	286.1725754		0		TRUE
TRUE	TRUE	0.1	TRUE		105.0720014	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na105.0699	100	1	1	Linear	TRUE	3	105.0677986		0		TRUE
TRUE	TRUE	0.1	TRUE		79.05578108	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na79.0542	100	1	1	Linear	TRUE	3	79.05261892		0		TRUE
TRUE	TRUE	0.1	TRUE		246.1902237	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na246.1853	100	1	1	Linear	TRUE	3	246.1803763		0		TRUE
TRUE	TRUE	0.1	TRUE		141.0714214	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na141.0686	100	1	1	Linear	TRUE	3	141.0657786		0		TRUE
TRUE	TRUE	0.1	TRUE		58.06646131	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na58.0653	100	1	1	Linear	TRUE	3	58.06413869		0		TRUE
TRUE	TRUE	0.1	TRUE		159.0836816	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na159.0805	100	1	1	Linear	TRUE	3	159.0773184		0		TRUE
TRUE	TRUE	0.1	TRUE		264.2008839	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na264.1956	100	1	1	Linear	TRUE	3	264.1903161		0		TRUE
TRUE	TRUE	0.1	TRUE		58.06666131	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na58.0655	100	1	1	Linear	TRUE	3	58.06433869		0		TRUE
TRUE	TRUE	0.1	TRUE		107.051241	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na107.0491	100	1	1	Linear	TRUE	3	107.046959		0		TRUE
TRUE	TRUE	0.1	TRUE		246.1898237	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na246.1849	100	1	1	Linear	TRUE	3	246.1799763		0		TRUE
TRUE	TRUE	0.1	TRUE		145.0678013	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na145.0649	100	1	1	Linear	TRUE	3	145.0619987		0		TRUE
TRUE	TRUE	0.1	TRUE		58.06656131	17.6524233	6	Scan	HMDB0015646+Na	20	TRUE	FALSE		20	15	15	0	4	HMDB0015646+Na58.0654	100	1	1	Linear	TRUE	3	58.06423869		0		TRUE
